42.300151, -71.128008
42.301642, -71.140323
42.301642, -71.134487
42.295039, -71.152339
42.303673, -71.164699
42.294531, -71.178432
42.283001, -71.190728
42.279370, -71.184594
42.278349, -71.182907
42.276647, -71.182753
42.277782, -71.180146
42.278462, -71.176926
42.276874, -71.175086
42.273810, -71.174626
42.269634, -71.172835
42.266050, -71.171526
42.258852, -71.162796
42.255401, -71.158620
42.258131, -71.151938
42.255633, -71.146595
42.2531725620039, -71.14636799115631
42.25725501663893, -71.141886516829
42.25840315939003, -71.14050760165138
42.2605718164401, -71.141886516829
42.26388844177937, -71.141886516829
42.26694978724304, -71.14498907597869
42.26975588999364, -71.14533380477309
42.27294449149277, -71.14240361002062
42.273837271006464, -71.14050760165138
42.27855603834895, -71.14309306760944
42.28314693230183, -71.14757454193673
42.28709993405883, -71.14791927073115
42.28888507935663, -71.14326543200664
42.292008981173346, -71.13930607596443
42.29630079751807, -71.13460913311286
